iter	Passed	Remaining
0	1	1714
1	3	1534
2	4	1411
3	5	1350
4	10	2158
5	12	1992
6	13	1870
7	14	1787
8	16	1764
9	17	1728
10	18	1691
11	20	1659
12	24	1826
13	25	1782
14	26	1758
15	27	1719
16	29	1694
17	30	1666
18	31	1637
19	32	1614
20	34	1596
21	35	1583
22	41	1754
23	46	1899
24	48	1899
25	51	1920
26	56	2044
27	58	2023
28	60	2028
29	61	1997
30	62	1967
31	64	1954
32	65	1930
33	67	1907
34	73	2012
35	74	2002
36	76	1982
37	77	1960
38	78	1939
39	79	1917
40	81	1900
41	87	2005
42	89	1988
43	90	1973
44	92	1954
45	93	1936
46	94	1923
47	96	1904
48	97	1888
49	103	1969
50	105	1958
51	106	1943
52	108	1929
53	109	1917
54	110	1905
55	112	1892
56	117	1945
57	120	1950
58	121	1934
59	122	1919
60	123	1904
61	124	1889
62	126	1877
63	127	1867
64	133	1919
65	134	1910
66	137	1910
67	138	1901
68	140	1891
69	141	1885
70	147	1933
71	149	1928
72	151	1919
73	152	1907
74	153	1895
75	155	1890
76	156	1879
77	158	1868
78	163	1906
79	164	1895
80	166	1884
81	167	1873
82	167	1856
83	169	1845
84	170	1835
85	171	1825
86	177	1859
87	180	1869
88	181	1859
89	182	1849
90	184	1839
91	185	1829
92	186	1819
93	193	1868
94	196	1869
95	197	1862
96	200	1866
97	202	1866
98	203	1855
99	208	1875
100	211	1881
101	213	1875
102	214	1869
103	216	1862
104	218	1858
105	219	1855
106	222	1854
107	224	1857
108	226	1850
109	228	1846
110	229	1839
111	236	1877
112	238	1869
113	239	1860
114	240	1852
115	242	1848
116	243	1838
117	245	1832
118	250	1854
119	251	1847
120	253	1839
121	254	1829
122	255	1821
123	256	1814
124	258	1806
125	259	1799
126	261	1794
127	264	1801
128	265	1794
129	267	1787
130	268	1780
131	269	1772
132	270	1765
133	272	1758
134	273	1752
135	279	1775
136	281	1772
137	283	1769
138	284	1763
139	286	1757
140	287	1750
141	288	1740
142	289	1733
143	292	1741
144	295	1741
145	297	1740
146	298	1734
147	300	1728
148	301	1721
149	302	1715
150	304	1709
151	309	1728
152	311	1724
153	313	1721
154	314	1714
155	315	1708
156	317	1702
157	318	1695
158	319	1689
159	325	1708
160	326	1699
161	327	1694
162	329	1690
163	331	1690
164	333	1686
165	334	1682
166	341	1701
167	342	1696
168	344	1694
169	345	1688
170	346	1682
171	348	1676
172	349	1672
173	356	1690
174	357	1684
175	358	1679
176	360	1674
177	361	1667
178	362	1662
179	363	1656
180	364	1650
181	370	1664
182	371	1660
183	373	1655
184	374	1649
185	375	1644
186	377	1639
187	378	1634
188	379	1629
189	380	1623
190	384	1628
191	385	1623
192	387	1619
193	388	1614
194	389	1609
195	391	1604
196	392	1598
197	393	1593
198	394	1588
199	395	1583
200	401	1596
201	403	1592
202	404	1589
203	406	1584
204	407	1579
205	408	1574
206	409	1570
207	411	1565
208	417	1578
209	418	1574
210	420	1570
211	421	1567
212	423	1565
213	425	1561
214	429	1568
215	431	1566
216	432	1561
217	434	1557
218	435	1552
219	436	1547
220	437	1542
221	441	1545
222	447	1557
223	448	1554
224	450	1550
225	451	1546
226	453	1543
227	454	1538
228	455	1534
229	456	1529
230	463	1541
231	464	1537
232	465	1533
233	467	1529
234	468	1525
235	469	1520
236	471	1517
237	474	1520
238	476	1516
239	478	1513
240	479	1509
241	480	1505
242	481	1500
243	483	1496
244	484	1492
245	485	1488
246	486	1484
247	492	1493
248	493	1489
249	495	1485
250	497	1483
251	498	1480
252	500	1476
253	501	1472
254	502	1468
255	508	1477
256	509	1473
257	511	1471
258	512	1466
259	514	1464
260	515	1460
261	517	1456
262	520	1459
263	522	1457
264	524	1455
265	526	1452
266	528	1449
267	529	1446
268	532	1447
269	539	1458
270	540	1455
271	542	1451
272	544	1449
273	545	1444
274	546	1441
275	547	1437
276	555	1449
277	556	1445
278	558	1442
279	559	1438
280	560	1434
281	561	1430
282	563	1426
283	566	1429
284	569	1429
285	571	1426
286	572	1422
287	574	1419
288	575	1415
289	576	1411
290	578	1408
291	584	1416
292	585	1412
293	586	1408
294	588	1406
295	589	1402
296	591	1398
297	592	1395
298	593	1391
299	599	1399
300	600	1395
301	602	1391
302	603	1388
303	604	1384
304	606	1382
305	607	1378
306	609	1374
307	613	1377
308	615	1375
309	616	1373
310	618	1370
311	620	1367
312	621	1364
313	623	1362
314	630	1372
315	632	1369
316	635	1369
317	638	1368
318	639	1366
319	643	1368
320	645	1365
321	646	1361
322	648	1358
323	652	1361
324	654	1359
325	655	1356
326	657	1352
327	658	1348
328	661	1349
329	664	1348
330	669	1352
331	672	1352
332	673	1349
333	675	1346
334	681	1353
335	683	1350
336	684	1346
337	686	1345
338	688	1342
339	690	1341
340	695	1344
341	697	1341
342	699	1339
343	700	1336
344	702	1333
345	703	1330
346	705	1328
347	711	1333
348	714	1332
349	716	1329
350	717	1326
351	720	1325
352	730	1338
353	731	1335
354	734	1334
355	736	1333
356	742	1337
357	743	1333
358	745	1330
359	746	1326
360	747	1322
361	749	1321
362	757	1328
363	760	1329
364	761	1325
365	764	1324
366	770	1329
367	773	1328
368	774	1324
369	776	1321
370	778	1319
371	779	1316
372	781	1312
373	786	1315
374	788	1313
375	790	1311
376	791	1307
377	793	1306
378	796	1304
379	806	1315
380	807	1312
381	809	1309
382	811	1306
383	817	1311
384	820	1310
385	822	1307
386	825	1307
387	826	1304
388	834	1309
389	836	1308
390	838	1305
391	839	1302
392	841	1299
393	842	1295
394	847	1298
395	851	1299
396	854	1297
397	856	1294
398	862	1299
399	863	1295
400	865	1293
401	867	1290
402	869	1288
403	871	1285
404	875	1286
405	877	1284
406	881	1283
407	882	1280
408	883	1276
409	884	1273
410	886	1270
411	896	1278
412	901	1280
413	902	1278
414	908	1280
415	910	1278
416	912	1276
417	914	1273
418	915	1269
419	916	1266
420	922	1268
421	924	1265
422	925	1262
423	927	1259
424	928	1256
425	929	1252
426	931	1249
427	938	1254
428	942	1254
429	943	1250
430	944	1247
431	946	1244
432	953	1248
433	956	1247
